season,league_position,club,player_name,transfer_direction,transfer_type,transfer_value,net_transfer
2006/07,1,Manchester United,Michael Carrick,Spent,Full Transfer,27.2,27.2
2006/07,1,Manchester United,David Jones,Received,Full Transfer,1.5,-1.5
2006/07,1,Manchester United,Jonathan Spector,Received,Full Transfer,0.75,-0.75
2006/07,1,Manchester United,David Bellion,Received,Full Transfer,0.5,-0.5
2006/07,1,Manchester United,Paul McShane,Received,Full Transfer,0.5,-0.5
2006/07,1,Manchester United,Luke Steel,Received,Full Transfer,0.25,-0.25
2006/07,1,Manchester United,Ruud Van Nistelrooy,Received,Full Transfer,15,-15
2006/07,2,Chelsea,Andriy Schevchenko,Spent,Full Transfer,43.3,43.3
2006/07,2,Chelsea,John Mikel Obi,Spent,Full Transfer,20,20
2006/07,2,Chelsea,Khalid Boulahrouz,Spent,Full Transfer,13.2,13.2
2006/07,2,Chelsea,Ashley Cole,Spent,Full Transfer,7.4,7.4
2006/07,2,Chelsea,Salomon Kalou,Spent,Full Transfer,4,4
2006/07,2,Chelsea,Ben Sahar,Spent,Full Transfer,0.5,0.5
2006/07,2,Chelsea,Damien Duff,Received,Full Transfer,15.5,-15.5
2006/07,2,Chelsea,Eidur Gudjohnsen,Received,Full Transfer,12,-12
2006/07,2,Chelsea,Robert Huth,Received,Full Transfer,8.9,-8.9
2006/07,2,Chelsea,Asier del Horno,Received,Full Transfer,7.5,-7.5
2006/07,2,Chelsea,Jiri Jarosik,Received,Full Transfer,3.5,-3.5
2006/07,2,Chelsea,Carlton Cole,Received,Full Transfer,3,-3
2006/07,2,Chelsea,Juan Sebastian Veron,Received,Full Transfer,2.2,-2.2
2006/07,3,Liverpool,Dirk Kuyt,Spent,Full Transfer,18,18
2006/07,3,Liverpool,Jermaine Pennant,Spent,Full Transfer,9.1,9.1
2006/07,3,Liverpool,Craig Bellamy,Spent,Full Transfer,9,9
2006/07,3,Liverpool,Alvaro Arbeloa,Spent,Full Transfer,3.9,3.9
2006/07,3,Liverpool,Gabriel Paletta,Spent,Full Transfer,2.7,2.7
2006/07,3,Liverpool,Javier Mascherano,Spent,Loan Fee,2,2
2006/07,3,Liverpool,Astrit Ajdarevic,Spent,Full Transfer,1.2,1.2
2006/07,3,Liverpool,Emiliano Insua,Spent,Full Transfer,0.1,0.1
2006/07,3,Liverpool,Fernando Morientes,Received,Full Transfer,5,-5
2006/07,3,Liverpool,Jan Kromkamp,Received,Full Transfer,3,-3
2006/07,3,Liverpool,Djimi Traore,Received,Full Transfer,2.8,-2.8
2006/07,3,Liverpool,Antonio Barragan,Received,Full Transfer,2.5,-2.5
2006/07,3,Liverpool,Neil Mellor,Received,Full Transfer,2.3,-2.3
2006/07,3,Liverpool,Stephen Warnock,Received,Full Transfer,2.25,-2.25
2006/07,3,Liverpool,Djibril Cisse,Received,Loan Fee,1.5,-1.5
2006/07,3,Liverpool,Bruno Cheyrou,Received,Full Transfer,1,-1
2006/07,3,Liverpool,Darren Potter,Received,Full Transfer,0.37,-0.37
2006/07,3,Liverpool,Danny O'Donnell,Received,Full Transfer,0.15,-0.15
2006/07,3,Liverpool,Florent Sinama Pongolle,Received,Loan Fee,0.12,-0.12
2006/07,4,Arsenal,Tomas Rosicky,Spent,Full Transfer,10,10
2006/07,4,Arsenal,Denilson,Spent,Full Transfer,5,5
2006/07,4,Arsenal,Rui Fonte,Spent,Loan Fee,0.06,0.06
2006/07,4,Arsenal,Ashley Cole,Received,Full Transfer,7.4,-7.4
2006/07,4,Arsenal,Pascal Cygan,Received,Full Transfer,3,-3
2006/07,4,Arsenal,Sebastian Larsson,Received,Full Transfer,1.5,-1.5
2006/07,4,Arsenal,Lauren,Received,Full Transfer,0.55,-0.55
2006/07,4,Arsenal,Sebastian Svard,Received,Full Transfer,0.3,-0.3
2006/07,4,Arsenal,Alex Song,Received,Loan Fee,0.27,-0.27
2006/07,5,Tottenham Hotspur,Dimitar Berbatov,Spent,Full Transfer,15.7,15.7
2006/07,5,Tottenham Hotspur,Didier Zokora,Spent,Full Transfer,12.35,12.35
2006/07,5,Tottenham Hotspur,Pascal Chimbonda,Spent,Full Transfer,10,10
2006/07,5,Tottenham Hotspur,Mido,Spent,Full Transfer,6.75,6.75
2006/07,5,Tottenham Hotspur,Ricardo Rocha,Spent,Full Transfer,5,5
2006/07,5,Tottenham Hotspur,Benoit Assou Ekotto,Spent,Full Transfer,5,5
2006/07,5,Tottenham Hotspur,Steed Malbranque,Spent,Full Transfer,3,3
2006/07,5,Tottenham Hotspur,Dorian Dervite,Spent,Full Transfer,1.5,1.5
2006/07,5,Tottenham Hotspur,Ben Alnwick,Spent,Full Transfer,1.5,1.5
2006/07,5,Tottenham Hotspur,Radek Cerny,Spent,Full Transfer,0.2,0.2
2006/07,5,Tottenham Hotspur,Michael Carrick,Received,Full Transfer,27.2,-27.2
2006/07,5,Tottenham Hotspur,Andy Reid,Received,Full Transfer,4.2,-4.2
2006/07,5,Tottenham Hotspur,Calum Davenport,Received,Full Transfer,4.2,-4.2
2006/07,5,Tottenham Hotspur,Stephen Kelly,Received,Full Transfer,1.6,-1.6
2006/07,5,Tottenham Hotspur,Marton Fulop,Received,Full Transfer,0.75,-0.75
2006/07,5,Tottenham Hotspur,Rodrigo Defendi,Received,Loan Fee,0.37,-0.37
2006/07,5,Tottenham Hotspur,Dean Marney,Received,Full Transfer,0.32,-0.32
2006/07,6,Everton,Andy Johnson,Spent,Full Transfer,11,11
2006/07,6,Everton,Joleon Lescott,Spent,Full Transfer,6.5,6.5
2006/07,6,Everton,Manuel Fernandes,Spent,Loan Fee,0.4,0.4
2006/07,6,Everton,Kevin Kilbane,Received,Full Transfer,2.5,-2.5
2006/07,7,Bolton Wanderers,Nicolas Anelka,Spent,Full Transfer,12,12
2006/07,7,Bolton Wanderers,Abdoulaye Faye,Spent,Full Transfer,3,3
2006/07,7,Bolton Wanderers,Abdoulaye Meite,Spent,Full Transfer,1.5,1.5
2006/07,7,Bolton Wanderers,Lubomir Michalik,Spent,Full Transfer,0.5,0.5
2006/07,7,Bolton Wanderers,Radhi Jaidi,Received,Full Transfer,3.25,-3.25
2006/07,7,Bolton Wanderers,Dietmar Hamann,Received,Full Transfer,0.6,-0.6
2006/07,8,Reading,Greg Halford,Spent,Full Transfer,4.5,4.5
2006/07,8,Reading,Ki Hyeon Seol,Spent,Full Transfer,1.5,1.5
2006/07,8,Reading,Michael Duberry,Spent,Full Transfer,1.5,1.5
2006/07,8,Reading,Sam Sodje,Spent,Full Transfer,0.75,0.75
2006/07,8,Reading,Peter Mate,Spent,Loan Fee,0.57,0.57
2006/07,8,Reading,Alan Bennett,Spent,Full Transfer,0.3,0.3
2006/07,8,Reading,Mikkel Andersen,Spent,Full Transfer,0.1,0.1
2006/07,9,Portsmouth,Niko Kranjcar,Spent,Full Transfer,4.5,4.5
2006/07,9,Portsmouth,David James,Spent,Full Transfer,1.7,1.7
2006/07,9,Portsmouth,Djimi Traore,Spent,Full Transfer,1.4,1.4
2006/07,9,Portsmouth,Andrew Cole,Spent,Full Transfer,0.75,0.75
2006/07,9,Portsmouth,Lauren,Spent,Full Transfer,0.55,0.55
2006/07,9,Portsmouth,Arnold Mvuemba,Spent,Loan Fee,0.2,0.2
2006/07,9,Portsmouth,Brian Prsike,Received,Full Transfer,1,-1
2006/07,9,Portsmouth,Jhon Viafara,Received,Full Transfer,0.25,-0.25
2006/07,10,Blackburn Rovers,Jason Roberts,Spent,Full Transfer,4.08,4.08
2006/07,10,Blackburn Rovers,Benni McCarthy,Spent,Full Transfer,3.7,3.7
2006/07,10,Blackburn Rovers,Andre Ooijer,Spent,Full Transfer,3,3
2006/07,10,Blackburn Rovers,Stephen Warnock,Spent,Full Transfer,2.25,2.25
2006/07,10,Blackburn Rovers,David Dunn,Spent,Full Transfer,1.75,1.75
2006/07,10,Blackburn Rovers,Zurab Khizanishvili,Spent,Full Transfer,0.75,0.75
2006/07,10,Blackburn Rovers,Christopher Samba,Spent,Full Transfer,0.5,0.5
2006/07,10,Blackburn Rovers,Bruno Berner,Spent,Full Transfer,0.5,0.5
2006/07,10,Blackburn Rovers,Craig Bellamy,Received,Full Transfer,9,-9
2006/07,10,Blackburn Rovers,Shefki Kuqi,Received,Full Transfer,3.75,-3.75
2006/07,10,Blackburn Rovers,Lucas Neill,Received,Full Transfer,2.3,-2.3
2006/07,10,Blackburn Rovers,Jay McEveley,Received,Full Transfer,0.9,-0.9
2006/07,10,Blackburn Rovers,Jemal Johnson,Received,Full Transfer,0.75,-0.75
2006/07,10,Blackburn Rovers,Joe Garner,Received,Full Transfer,0.21,-0.21
2006/07,11,Aston Villa,Ashley Young,Spent,Full Transfer,13.2,13.2
2006/07,11,Aston Villa,Stiliyan Petrov,Spent,Full Transfer,10,10
2006/07,11,Aston Villa,Shaun Maloney,Spent,Full Transfer,1.5,1.5
2006/07,11,Aston Villa,Kevin Phillips,Received,Full Transfer,1.05,-1.05
2006/07,11,Aston Villa,Peter Whittingham,Received,Full Transfer,0.52,-0.52
2006/07,11,Aston Villa,Mathieu Berson,Received,Full Transfer,0.25,-0.25
2006/07,12,Middlesbrough,Robert Huth,Spent,Full Transfer,8.9,8.9
2006/07,12,Middlesbrough,Julio Arca,Spent,Full Transfer,2.4,2.4
2006/07,12,Middlesbrough,Franck Queudrue,Received,Full Transfer,4.5,-4.5
2006/07,12,Middlesbrough,David Wheater,Received,Loan Fee,0.17,-0.17
2006/07,13,Newcastle United,Obafemi Martins,Spent,Full Transfer,16,16
2006/07,13,Newcastle United,Damien Duff,Spent,Full Transfer,15.5,15.5
2006/07,13,Newcastle United,Oguchi Onyewu,Spent,Loan Fee,0.37,0.37
2006/07,13,Newcastle United,Jean Alain Boumsong,Received,Full Transfer,4,-4
2006/07,13,Newcastle United,Amdy Faye,Received,Full Transfer,3,-3
2006/07,13,Newcastle United,Hugo Viana,Received,Full Transfer,2.3,-2.3
2006/07,13,Newcastle United,Lee Bowyer,Received,Full Transfer,1.13,-1.13
2006/07,13,Newcastle United,Michael Chopra,Received,Full Transfer,0.75,-0.75
2006/07,13,Newcastle United,Carl Finnigan,Received,Full Transfer,0.02,-0.02
2006/07,14,Manchester City,Andreas Isaksson,Spent,Full Transfer,3,3
2006/07,14,Manchester City,Bernardo Corradi,Spent,Full Transfer,3,3
2006/07,14,Manchester City,Joe Hart,Spent,Full Transfer,0.9,0.9
2006/07,14,Manchester City,Dietmar Hamann,Spent,Full Transfer,0.6,0.6
2006/07,14,Manchester City,David James,Received,Full Transfer,1.7,-1.7
2006/07,14,Manchester City,Lee Croft,Received,Full Transfer,0.9,-0.9
2006/07,14,Manchester City,Ben Thatcher,Received,Full Transfer,0.75,-0.75
2006/07,14,Manchester City,Andrew Cole,Received,Full Transfer,0.75,-0.75
2006/07,14,Manchester City,Bradley Wright Phillips,Received,Full Transfer,0.1,-0.1
2006/07,15,West Ham United,Carlos Tevez,Spent,Full Transfer,14.6,14.6
2006/07,15,West Ham United,Javier Mascherano,Spent,Full Transfer,14.6,14.6
2006/07,15,West Ham United,Matthew Upson,Spent,Full Transfer,12.6,12.6
2006/07,15,West Ham United,Luis Boa Morte,Spent,Full Transfer,6.8,6.8
2006/07,15,West Ham United,Calum Davenport,Spent,Full Transfer,4.2,4.2
2006/07,15,West Ham United,Robert Green,Spent,Full Transfer,3,3
2006/07,15,West Ham United,Carlton Cole,Spent,Full Transfer,3,3
2006/07,15,West Ham United,Lucas Neill,Spent,Full Transfer,2.3,2.3
2006/07,15,West Ham United,Nigel Quashie,Spent,Full Transfer,2.25,2.25
2006/07,15,West Ham United,George McCartney,Spent,Full Transfer,1.63,1.63
2006/07,15,West Ham United,John Paintsil,Spent,Full Transfer,1.5,1.5
2006/07,15,West Ham United,Tyrone Mears,Spent,Full Transfer,1.5,1.5
2006/07,15,West Ham United,Lee Bowyer,Spent,Full Transfer,1.13,1.13
2006/07,15,West Ham United,Jonathan Spector,Spent,Full Transfer,0.75,0.75
2006/07,15,West Ham United,Javier Mascherano,Received,Loan Fee,2,-2
2006/07,15,West Ham United,Tyrone Mears,Received,Full Transfer,1.5,-1.5
2006/07,15,West Ham United,Elliott Ward,Received,Full Transfer,1.25,-1.25
2006/07,15,West Ham United,Stpehen Bywater,Received,Full Transfer,0.75,-0.75
2006/07,15,West Ham United,Clive Clarke,Received,Full Transfer,0.65,-0.65
2006/07,15,West Ham United,Carl Fletcher,Received,Full Transfer,0.6,-0.6
2006/07,16,Fulham,Franck Queudrue,Spent,Full Transfer,4.5,4.5
2006/07,16,Fulham,Jimmy Bullard,Spent,Full Transfer,3.75,3.75
2006/07,16,Fulham,Clint Dempsey,Spent,Full Transfer,3,3
2006/07,16,Fulham,Gabriel Zakuani,Spent,Full Transfer,1.5,1.5
2006/07,16,Fulham,Bjorn Runstrom,Spent,Full Transfer,1.05,1.05
2006/07,16,Fulham,Luis Boa Morte,Received,Full Transfer,6.8,-6.8
2006/07,16,Fulham,Steed Malbranque,Received,Full Transfer,3,-3
2006/07,16,Fulham,Dean Leacock,Received,Full Transfer,0.56,-0.56
2006/07,16,Fulham,Darren Pratley,Received,Full Transfer,0.15,-0.15
2006/07,17,Wigan Athletic,Emile Heskey,Spent,Full Transfer,7.5,7.5
2006/07,17,Wigan Athletic,Fitz Hall,Spent,Full Transfer,4.5,4.5
2006/07,17,Wigan Athletic,Denny Landzaat,Spent,Full Transfer,4.4,4.4
2006/07,17,Wigan Athletic,David Cotterill,Spent,Full Transfer,3.2,3.2
2006/07,17,Wigan Athletic,Kevin Kilbane,Spent,Full Transfer,2.5,2.5
2006/07,17,Wigan Athletic,Emmerson Boyce,Spent,Full Transfer,1.5,1.5
2006/07,17,Wigan Athletic,Caleb Folan,Spent,Full Transfer,0.75,0.75
2006/07,17,Wigan Athletic,Carlo Nash,Spent,Full Transfer,0.45,0.45
2006/07,17,Wigan Athletic,Antonio Valencia,Spent,Loan Fee,0.4,0.4
2006/07,17,Wigan Athletic,Kristofer Haestad,Spent,Loan Fee,0.25,0.25
2006/07,17,Wigan Athletic,Andreas Granqvist,Spent,Loan Fee,0.2,0.2
2006/07,17,Wigan Athletic,Pascal Chimbonda,Received,Full Transfer,10,-10
2006/07,17,Wigan Athletic,Jason Roberts,Received,Full Transfer,4.08,-4.08
2006/07,17,Wigan Athletic,Jimmy Bullard,Received,Full Transfer,3.75,-3.75
2006/07,17,Wigan Athletic,David Connolly,Received,Full Transfer,2.3,-2.3
2006/07,17,Wigan Athletic,Damien Francis,Received,Full Transfer,2.25,-2.25
2006/07,17,Wigan Athletic,Gary Teale,Received,Full Transfer,0.9,-0.9
2006/07,17,Wigan Athletic,Graham Kavanagh,Received,Full Transfer,0.75,-0.75
2006/07,17,Wigan Athletic,David Wright,Received,Full Transfer,0.3,-0.3
2006/07,18,Sheffield United,Matthew Kilgallon,Spent,Full Transfer,3.8,3.8
2006/07,18,Sheffield United,Claude Davis,Spent,Full Transfer,3.5,3.5
2006/07,18,Sheffield United,Rob Hulse,Spent,Full Transfer,3.45,3.45
2006/07,18,Sheffield United,Luton Shelton,Spent,Full Transfer,2.7,2.7
2006/07,18,Sheffield United,Colin Kazim Richards,Spent,Full Transfer,1.5,1.5
2006/07,18,Sheffield United,Jon Stead,Spent,Full Transfer,1.13,1.13
2006/07,18,Sheffield United,Ahmed Fathi,Spent,Full Transfer,1.05,1.05
2006/07,18,Sheffield United,Mikele Leigertwood,Spent,Full Transfer,0.75,0.75
2006/07,18,Sheffield United,Ian Bennett,Spent,Full Transfer,0.15,0.15
2006/07,18,Sheffield United,Paul Ifill,Received,Full Transfer,1.13,-1.13
2006/07,18,Sheffield United,Ade Akinbiyi,Received,Full Transfer,1.1,-1.1
2006/07,18,Sheffield United,Steve Kabba,Received,Full Transfer,0.75,-0.75
2006/07,18,Sheffield United,Kevan Hurst,Received,Full Transfer,0.25,-0.25
2006/07,18,Sheffield United,Simon Francis,Received,Full Transfer,0.1,-0.1
2006/07,19,Charlton Athletic,Souleymane Diawara,Spent,Full Transfer,5.4,5.4
2006/07,19,Charlton Athletic,Andy Reid,Spent,Full Transfer,4.2,4.2
2006/07,19,Charlton Athletic,Madjid Bougherra,Spent,Full Transfer,3.79,3.79
2006/07,19,Charlton Athletic,Amdy Faye,Spent,Full Transfer,3,3
2006/07,19,Charlton Athletic,Djimi Traore,Spent,Full Transfer,2.8,2.8
2006/07,19,Charlton Athletic,Ben Thatcher,Spent,Full Transfer,0.75,0.75
2006/07,19,Charlton Athletic,Ismael Fofana,Spent,Full Transfer,0.7,0.7
2006/07,19,Charlton Athletic,Simon Walton,Spent,Full Transfer,0.67,0.67
2006/07,19,Charlton Athletic,Alex Song,Spent,Loan Fee,0.27,0.27
2006/07,19,Charlton Athletic,Chris Dickson,Spent,Full Transfer,0.6,0.6
2006/07,19,Charlton Athletic,Djimi Traore,Received,Full Transfer,1.4,-1.4
2006/07,19,Charlton Athletic,Stephan Andersen,Received,Full Transfer,0.6,-0.6
2006/07,19,Charlton Athletic,Ismael Fofana,Received,Loan Fee,0.27,-0.27
2006/07,20,Watford,Danny Shittu,Spent,Full Transfer,2.4,2.4
2006/07,20,Watford,Damien Francis,Spent,Full Transfer,2.25,2.25
2006/07,20,Watford,Tamas Priskin,Spent,Full Transfer,1.5,1.5
2006/07,20,Watford,Gareth Williams,Spent,Full Transfer,1.25,1.25
2006/07,20,Watford,Will Hoskins,Spent,Full Transfer,1,1
2006/07,20,Watford,Steve Kabba,Spent,Full Transfer,0.75,0.75
2006/07,20,Watford,Tommy Smith,Spent,Full Transfer,0.75,0.75
2006/07,20,Watford,Lee Williamson,Spent,Full Transfer,0.5,0.5
2006/07,20,Watford,Moses Ashikodi,Spent,Full Transfer,0.1,0.1
2006/07,20,Watford,Ashley Young,Received,Full Transfer,13.2,-13.2
2006/07,20,Watford,Matthew Spring,Received,Full Transfer,0.3,-0.3
2007/08,1,Manchester United,Anderson,Spent,Full Transfer,31.5,31.5
2007/08,1,Manchester United,Nani,Spent,Full Transfer,25.5,25.5
2007/08,1,Manchester United,Owen Hargreaves,Spent,Full Transfer,25,25
2007/08,1,Manchester United,Carlos Tevez,Spent,Loan Fee,12.7,12.7
2007/08,1,Manchester United,Tomasz Kuszczak,Spent,Full Transfer,4.3,4.3
2007/08,1,Manchester United,Rodrigo Possebon,Spent,Full Transfer,3.5,3.5
2007/08,1,Manchester United,Manucho,Spent,Full Transfer,1,1
2007/08,1,Manchester United,Gabriel Heinze,Received,Full Transfer,12,-12
2007/08,1,Manchester United,Giuseppe Rossi,Received,Full Transfer,10,-10
2007/08,1,Manchester United,Alan Smith,Received,Full Transfer,9,-9
2007/08,1,Manchester United,Kieran Richardson,Received,Full Transfer,8.2,-8.2
2007/08,1,Manchester United,Tim Howard,Received,Full Transfer,4.2,-4.2
2007/08,1,Manchester United,Phil Bardsley,Received,Full Transfer,3,-3
2007/08,1,Manchester United,Manucho,Received,Loan Fee,0.2,-0.2
2007/08,2,Chelsea,Florent Malouda,Spent,Full Transfer,19,19
2007/08,2,Chelsea,Nicolas Anelka,Spent,Full Transfer,18,18
2007/08,2,Chelsea,Branislav Ivanovic,Spent,Full Transfer,12,12
2007/08,2,Chelsea,Belletti,Spent,Full Transfer,5.5,5.5
2007/08,2,Chelsea,Franco Di Santo,Spent,Full Transfer,4.5,4.5
2007/08,2,Chelsea,Arjen Robben,Spent,Full Transfer,36,36
2007/08,2,Chelsea,Glen Johnson,Spent,Full Transfer,5.5,5.5
2007/08,2,Chelsea,Lassana Diarra,Spent,Full Transfer,2.9,2.9
2007/08,2,Chelsea,Slobodan Rajkovic,Spent,Loan Fee,0.25,0.25
2007/08,3,Arsenal,Eduardo,Spent,Full Transfer,13.5,13.5
2007/08,3,Arsenal,Barcary Sagna,Spent,Full Transfer,9,9
2007/08,3,Arsenal,Lukasz Fabianski,Spent,Full Transfer,4.35,4.35
2007/08,3,Arsenal,Lassana Diarra,Spent,Full Transfer,2.9,2.9
2007/08,3,Arsenal,Pedro Botelho,Spent,Full Transfer,1.2,1.2
2007/08,3,Arsenal,Thierry Henry,Received,Full Transfer,24,-24
2007/08,3,Arsenal,Jose Antonio Reyes,Received,Full Transfer,12,-12
2007/08,3,Arsenal,Lassana Diarra,Received,Full Transfer,7,-7
2007/08,3,Arsenal,Fabrice Muamba,Received,Full Transfer,6,-6
2007/08,3,Arsenal,Freddie Ljungberg,Received,Full Transfer,4.5,-4.5
2007/08,3,Arsenal,Jeremie Aliadiere,Received,Full Transfer,3,-3
2007/08,3,Arsenal,Matthew Connolly,Received,Full Transfer,0.37,-0.37
2007/08,3,Arsenal,Pedro Botelho,Received,Loan Fee,0.12,-0.12
2007/08,3,Arsenal,Mart Poom,Received,Full Transfer,0.1,-0.1
2007/08,4,Liverpool,Fernando Torres,Spent,Full Transfer,38,38
2007/08,4,Liverpool,Ryan Babel,Spent,Full Transfer,17.25,17.25
2007/08,4,Liverpool,Lucas Leiva,Spent,Full Transfer,10,10
2007/08,4,Liverpool,Martin Skrtel,Spent,Full Transfer,10,10
2007/08,4,Liverpool,Yossi Benayoun,Spent,Full Transfer,7.3,7.3
2007/08,4,Liverpool,Krisztian Nemeth,Spent,Full Transfer,3,3
2007/08,4,Liverpool,Sebastian Leto,Spent,Full Transfer,3,3
2007/08,4,Liverpool,Charles Itandje,Spent,Full Transfer,1.5,1.5
2007/08,4,Liverpool,Damien Plessis,Spent,Full Transfer,0.5,0.5
2007/08,4,Liverpool,Nikolay Mihaylov,Spent,Full Transfer,0.15,0.15
2007/08,4,Liverpool,Craig Bellamy,Received,Full Transfer,11.25,-11.25
2007/08,4,Liverpool,Mohamed Sissoko,Received,Full Transfer,11,-11
2007/08,4,Liverpool,Djibril Cisse,Received,Full Transfer,9,-9
2007/08,4,Liverpool,Mark Gonzalez,Received,Full Transfer,6,-6
2007/08,4,Liverpool,Florent Sinama Pongolle,Received,Full Transfer,4,-4
2007/08,4,Liverpool,Luis Garcia,Received,Full Transfer,4,-4
2007/08,5,Everton,Yakubu Aiyegbeni,Spent,Full Transfer,16.5,16.5
2007/08,5,Everton,Leighton Baines,Spent,Full Transfer,7.5,7.5
2007/08,5,Everton,Phil Jagielka,Spent,Full Transfer,6,6
2007/08,5,Everton,Tim Howard,Spent,Full Transfer,4.2,4.2
2007/08,5,Everton,Dan Gosling,Spent,Full Transfer,1.5,1.5
2007/08,5,Everton,Manuel Fernandes,Spent,Loan Fee,0.75,0.75
2007/08,5,Everton,Lukas Jutkiewicz,Spent,Full Transfer,0.6,0.6
2007/08,5,Everton,Steven Pienaar,Spent,Loan Fee,0.5,0.5
2007/08,5,Everton,James McFadden,Received,Full Transfer,7.5,-7.5
2007/08,5,Everton,James Beattie,Received,Full Transfer,6,-6
2007/08,5,Everton,Gary Naysmith,Received,Full Transfer,1.5,-1.5
2007/08,5,Everton,Anderson Silva,Received,Full Transfer,0.8,-0.8
2007/08,6,Aston Villa,Nigel Reo Coker,Spent,Full Transfer,12.5,12.5
2007/08,6,Aston Villa,Marlon Harewood,Spent,Full Transfer,5.5,5.5
2007/08,6,Aston Villa,Zat Knight,Spent,Full Transfer,4.7,4.7
2007/08,6,Aston Villa,Wayne Routledge,Spent,Full Transfer,1.7,1.7
2007/08,6,Aston Villa,Moustapha Salifou,Spent,Full Transfer,0.5,0.5
2007/08,6,Aston Villa,Gary Cahill,Received,Full Transfer,6,-6
2007/08,6,Aston Villa,Steven Davis,Received,Full Transfer,5.9,-5.9
2007/08,6,Aston Villa,Luke Moore,Received,Full Transfer,3.75,-3.75
2007/08,6,Aston Villa,Liam Ridgewell,Received,Full Transfer,3,-3
2007/08,6,Aston Villa,Gavin McCann,Received,Full Transfer,1.5,-1.5
2007/08,6,Aston Villa,Aaron Hughes,Received,Full Transfer,1.5,-1.5
2007/08,7,Blackburn Rovers,Roque Santa Cruz,Spent,Full Transfer,5,5
2007/08,7,Blackburn Rovers,Maceo Rigters,Spent,Full Transfer,1.2,1.2
2007/08,7,Blackburn Rovers,Robbie Savage,Received,Full Transfer,2.25,-2.25
2007/08,7,Blackburn Rovers,Francis Jeffers,Received,Full Transfer,1.05,-1.05
2007/08,7,Blackburn Rovers,Andy Todd,Received,Full Transfer,0.67,-0.67
2007/08,8,Portsmouth,John Utaka,Spent,Full Transfer,10,10
2007/08,8,Portsmouth,Sulley Muntari,Spent,Full Transfer,10,10
2007/08,8,Portsmouth,Jermain Defoe,Spent,Full Transfer,9.3,9.3
2007/08,8,Portsmouth,David Nugent,Spent,Full Transfer,9,9
2007/08,8,Portsmouth,Lassana Diarra,Spent,Full Transfer,7,7
2007/08,8,Portsmouth,Glen Johnson,Spent,Full Transfer,5.5,5.5
2007/08,8,Portsmouth,Papa Bouba Diop,Spent,Full Transfer,5,5
2007/08,8,Portsmouth,Arnold Mvuemba,Spent,Full Transfer,1.9,1.9
2007/08,8,Portsmouth,Danijel Subotic,Spent,Full Transfer,0.4,0.4
2007/08,8,Portsmouth,Gary O'Neil,Received,Full Transfer,7.5,-7.5
2007/08,8,Portsmouth,Benjani,Received,Full Transfer,5.2,-5.2
2007/08,8,Portsmouth,Matthew Taylor,Received,Full Transfer,4.7,-4.7
2007/08,8,Portsmouth,Lomana LuaLua,Received,Full Transfer,4.1,-4.1
2007/08,8,Portsmouth,Dejan Stefanovic,Received,Full Transfer,1.5,-1.5
2007/08,8,Portsmouth,Collins Mbesuma,Received,Full Transfer,0.37,-0.37
2007/08,9,Manchester City,Vedran Corluka,Spent,Full Transfer,13,13
2007/08,9,Manchester City,Rolando Bianchi,Spent,Full Transfer,13,13
2007/08,9,Manchester City,Elano,Spent,Full Transfer,12,12
2007/08,9,Manchester City,Valeri Bojinov,Spent,Full Transfer,8,8
2007/08,9,Manchester City,Martin Petrov,Spent,Full Transfer,7,7
2007/08,9,Manchester City,Felipe Caicedo,Spent,Full Transfer,7,7
2007/08,9,Manchester City,Gelson Fernandes,Spent,Full Transfer,5.5,5.5
2007/08,9,Manchester City,Benjani,Spent,Full Transfer,5.2,5.2
2007/08,9,Manchester City,Nery Castillo,Spent,Loan Fee,5,5
2007/08,9,Manchester City,Javier Garrido,Spent,Full Transfer,2.25,2.25
2007/08,9,Manchester City,Joey Barton,Received,Full Transfer,8.6,-8.6
2007/08,9,Manchester City,Ishmael Miller,Received,Full Transfer,1.5,-1.5
2007/08,9,Manchester City,Bernardo Corradi,Received,Loan Fee,0.2,-0.2
2007/08,10,West Ham United,Kieron Dyer,Spent,Full Transfer,12,12
2007/08,10,West Ham United,Craig Bellamy,Spent,Full Transfer,11.25,11.25
2007/08,10,West Ham United,Scott Parker,Spent,Full Transfer,9.7,9.7
2007/08,10,West Ham United,Julien Faubert,Spent,Full Transfer,9.15,9.15
2007/08,10,West Ham United,Freddie Ljungberg,Spent,Full Transfer,4.5,4.5
2007/08,10,West Ham United,Carlos Tevez,Received,Loan Fee,12.7,-12.7
2007/08,10,West Ham United,Nigel Reo Coker,Received,Full Transfer,12.5,-12.5
2007/08,10,West Ham United,Yossi Benayoun,Received,Full Transfer,7.3,-7.3
2007/08,10,West Ham United,Marlon Harewood,Received,Full Transfer,5.5,-5.5
2007/08,10,West Ham United,Paul Konchesky,Received,Full Transfer,3,-3
2007/08,11,Tottenham Hotspur,Darren Bent,Spent,Full Transfer,24.75,24.75
2007/08,11,Tottenham Hotspur,Gareth Bale,Spent,Full Transfer,14.7,14.7
2007/08,11,Tottenham Hotspur,Alan Hutton,Spent,Full Transfer,13,13
2007/08,11,Tottenham Hotspur,Younes Kaboul,Spent,Full Transfer,12,12
2007/08,11,Tottenham Hotspur,Jonathan Woodgate,Spent,Full Transfer,10.8,10.8
2007/08,11,Tottenham Hotspur,Kevin Prince Boateng,Spent,Full Transfer,7.9,7.9
